Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-10,6.064,0.1
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-10,0,0
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.9,1.792,1.306
miRNA-198_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-9.9,0,0
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.7,6.339,1.317
miRNA-198_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-9.7,0,0
miRNA-198_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-9.5,0,0
miRNA-198_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-9.5,0,0
miRNA-198_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-9.5,0,0
miRNA-198_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-9.5,2.795,1.994
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.3,6.358,1.458
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.3,2.13,1.459
miRNA-198_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-9.3,2.253,1.723
miRNA-198_3D_Structure_model1_ZINC000012357960_uff_E=530.39,-9.3,0,0
miRNA-198_3D_Structure_model1_ZINC000065434528_uff_E=1775.58,-9.3,0,0
miRNA-198_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-9.3,0,0
miRNA-198_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-9.2,2.297,1.688
miRNA-198_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-9.2,2.628,0.772
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.2,1.892,1.337
miRNA-198_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-9.2,2.053,1.545
miRNA-198_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-9.2,0,0
miRNA-198_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-9.2,2.112,0.801
miRNA-198_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-9.2,0,0
miRNA-198_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-9.2,4.673,3.734
miRNA-198_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-9.2,0,0
miRNA-198_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-9.2,0,0
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.1,4.038,2.635
miRNA-198_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-9.1,0,0
miRNA-198_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-9.1,0,0
miRNA-198_3D_Structure_model1_ZINC000074934285_uff_E=1028.02,-9.1,0,0
miRNA-198_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-9.1,0,0
miRNA-198_3D_Structure_model1_ZINC000252493901_uff_E=112.70,-9.1,0,0
miRNA-198_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,4.025,2.58
miRNA-198_3D_Structure_model1_ZINC000004324685_uff_E=376.28,-9,0,0
miRNA-198_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-9,5.29,1.508
miRNA-198_3D_Structure_model1_ZINC000016283433_uff_E=390.12,-9,0,0
miRNA-198_3D_Structure_model1_ZINC000065434528_uff_E=1775.58,-9,6.361,2.441
miRNA-198_3D_Structure_model1_ZINC000065434528_uff_E=1775.58,-9,6.048,3.014
miRNA-198_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-9,0,0
miRNA-198_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-9,1.699,1.479
miRNA-198_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-9,0,0
