Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-612_3D_Structure_model1_ZINC000004207178_uff_E=366.98,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000004324685_uff_E=376.28,-7.8,3.338,2.151
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.8,54.511,53.054
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.8,52.344,50.801
miRNA-612_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.8,5.901,3.162
miRNA-612_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000012357960_uff_E=530.39,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000014001469_uff_E=308.66,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000014611337_uff_E=708.10,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000036556779_uff_E=1950.87,-7.8,43.166,40.994
miRNA-612_3D_Structure_model1_ZINC000065407985_uff_E=565.32,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000065614335_uff_E=326.84,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.8,54.339,52.055
miRNA-612_3D_Structure_model1_ZINC000078210627_uff_E=402.98,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.8,35.866,35.176
miRNA-612_3D_Structure_model1_ZINC000170637953_uff_E=375.04,-7.8,48.878,45.966
miRNA-612_3D_Structure_model1_ZINC000238856566_uff_E=401.19,-7.8,37.953,36.319
miRNA-612_3D_Structure_model1_ZINC000252493900_uff_E=112.08,-7.8,0,0
miRNA-612_3D_Structure_model1_ZINC000000039857_uff_E=352.48,-7.7,58.272,56.558
miRNA-612_3D_Structure_model1_ZINC000000203988_uff_E=337.31,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.7,40.179,38.319
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.7,0,0
miRNA-612_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-7.7,40.503,38.923
