Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.7,6.028,0.048
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.5,0,0
miRNA-1249_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.4,0,0
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.3,0,0
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8.3,0,0
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,15.324,13.146
miRNA-1249_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-8.2,0,0
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8.2,2.946,2.202
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.2,32.537,29.413
miRNA-1249_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.1,1.974,1.596
miRNA-1249_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-8,0,0
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-8,0,0
miRNA-1249_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8,0,0
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8,7.561,4.583
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8,15.712,12.639
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8,19.076,15.858
miRNA-1249_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8,22.191,20.143
miRNA-1249_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-8,0,0
miRNA-1249_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-7.9,5.851,2.439
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,17.712,15.516
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,19.497,16.914
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,22.155,18.539
miRNA-1249_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-7.9,4.832,2.97
miRNA-1249_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.9,0,0
miRNA-1249_3D_Structure_model1_ZINC000006769861_uff_E=378.03,-7.9,0,0
miRNA-1249_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.9,0,0
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.9,14.76,12.707
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.9,2.754,2.183
miRNA-1249_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.8,2.83,1.483
miRNA-1249_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.8,5.734,2.375
miRNA-1249_3D_Structure_model1_ZINC000001748317_uff_E=115.83,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.8,17.689,15.788
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.8,30.397,26.388
miRNA-1249_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.8,29.874,26.407
miRNA-1249_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.8,5.364,3.691
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.8,18.716,17.164
miRNA-1249_3D_Structure_model1_ZINC000008983594_uff_E=548.68,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.8,31.201,28.682
miRNA-1249_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.8,31.697,30.473
miRNA-1249_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.8,21.404,19.208
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.8,34.469,32.086
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.8,15.211,13.107
miRNA-1249_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.8,17.782,15.141
miRNA-1249_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.8,6.333,3.755
miRNA-1249_3D_Structure_model1_ZINC000084614927_uff_E=322.84,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000100116292_uff_E=392.73,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-7.8,18.129,15.573
miRNA-1249_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-7.8,6.424,2.052
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.8,19.365,16.935
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.8,3.326,2.209
miRNA-1249_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.8,34.095,30.992
miRNA-1249_3D_Structure_model1_ZINC000143939187_uff_E=145.87,-7.8,0,0
miRNA-1249_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000000339488_uff_E=104.70,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000001748317_uff_E=115.83,-7.7,2.934,1.541
miRNA-1249_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.7,11.337,10.908
miRNA-1249_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.7,55.628,53.723
miRNA-1249_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.7,12.437,11.002
miRNA-1249_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.7,19.783,18.08
miRNA-1249_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.7,23.65,21.605
miRNA-1249_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.7,47.562,45.956
miRNA-1249_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.7,13.097,11.396
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.7,5.086,3.034
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.7,2.582,1.78
miRNA-1249_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.7,17.818,16.166
miRNA-1249_3D_Structure_model1_ZINC000008754431_uff_E=154.93,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000012896294_uff_E=149.56,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000014001469_uff_E=308.66,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000020216661_uff_E=287.74,-7.7,0,0
miRNA-1249_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.7,17.285,14.522
miRNA-1249_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.7,18.675,15.984
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.7,8.979,4.515
miRNA-1249_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.7,7.809,4.582
