Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,0,0
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,6.298,0.765
miRNA-126_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-8,0,0
miRNA-126_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8,0,0
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,55.906,54.118
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,36.554,34.422
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,36.778,34.409
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,55.783,54.085
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.9,6.315,2.322
miRNA-126_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.8,0,0
miRNA-126_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-7.8,6.82,4.522
miRNA-126_3D_Structure_model1_ZINC000078210627_uff_E=402.98,-7.8,0,0
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.7,16.036,12.875
miRNA-126_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-7.7,29.114,26.667
miRNA-126_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.7,0,0
miRNA-126_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.7,56.182,53.887
miRNA-126_3D_Structure_model1_ZINC000036556779_uff_E=1950.87,-7.7,0,0
miRNA-126_3D_Structure_model1_ZINC000065407985_uff_E=565.32,-7.7,0,0
miRNA-126_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.7,0,0
miRNA-126_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.7,24.696,22.408
miRNA-126_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.7,0,0
miRNA-126_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000013470885_uff_E=336.76,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-7.6,54.993,52.657
miRNA-126_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-7.6,57.782,55.991
miRNA-126_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-7.6,6.372,1.633
miRNA-126_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000252493900_uff_E=112.08,-7.6,0,0
miRNA-126_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-7.5,0,0
miRNA-126_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.5,39.212,37.201
miRNA-126_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-7.5,26.781,25.682
miRNA-126_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-7.5,0,0
miRNA-126_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-7.5,5.896,3.089
