Ligand,Binding Energy
ZINC000000481837_uff_E=218.34,-5.9
ZINC000001047189_uff_E=658.28,-5.9
ZINC000004169248_uff_E=226.00,-5.9
ZINC000004205577_uff_E=233.38,-5.9
ZINC000012368780_uff_E=159.39,-5.9
ZINC000013554952_uff_E=813.14,-5.9
ZINC000016971447_uff_E=172.78,-5.9
ZINC000017314585_uff_E=453.86,-5.9
ZINC000019428179_uff_E=580.48,-5.9
ZINC000021955154_uff_E=537.81,-5.9
ZINC000022205753_uff_E=319.53,-5.9
ZINC000042699878_uff_E=245.91,-5.9
ZINC000069716743_uff_E=691.74,-5.9
ZINC000096316546_uff_E=109.62,-5.9
ZINC000393871654_uff_E=373.91,-5.9
ZINC000584879962_uff_E=616.94,-5.9
ZINC000584880104_uff_E=1779.68,-5.9
ZINC000000180379_uff_E=137.13,-5.8
ZINC000001640082_uff_E=96.71,-5.8
ZINC000002116511_uff_E=138.22,-5.8
ZINC000002565545_uff_E=201.81,-5.8
ZINC000003167796_uff_E=108.72,-5.8
ZINC000003874394_uff_E=133.59,-5.8
ZINC000004743910_uff_E=505.87,-5.8
ZINC000008346059_uff_E=663.02,-5.8
ZINC000018100819_uff_E=108.70,-5.8
ZINC000020244868_uff_E=606.03,-5.8
ZINC000030677738_uff_E=77.52,-5.8
ZINC000038951971_uff_E=261.40,-5.8
ZINC000040447968_uff_E=138.29,-5.8
ZINC000040447969_uff_E=138.29,-5.8
ZINC000097729439_uff_E=816.01,-5.8
ZINC000098113582_uff_E=581.84,-5.8
ZINC000177997520_uff_E=1308.82,-5.8
ZINC000261529811_uff_E=76.96,-5.8
ZINC000330864020_uff_E=419.64,-5.8
ZINC000000204072_uff_E=183.96,-5.7
ZINC000002510545_uff_E=558.71,-5.7
ZINC000004943313_uff_E=259.46,-5.7
ZINC000008729716_uff_E=311.47,-5.7
ZINC000019090408_uff_E=183.31,-5.7
ZINC000020447202_uff_E=134.71,-5.7
ZINC000037518426_uff_E=1472.90,-5.7
ZINC000053496450_uff_E=661.61,-5.7
ZINC000069716908_uff_E=698.43,-5.7
ZINC000087616717_uff_E=588.34,-5.7
ZINC000129589501_uff_E=135.19,-5.7
ZINC000331316425_uff_E=787.42,-5.7
ZINC000575436869_uff_E=99.02,-5.7
ZINC000004784768_uff_E=193.69,-5.6
ZINC000005350117_uff_E=123.89,-5.6
ZINC000019090411_uff_E=177.69,-5.6
ZINC000019982928_uff_E=532.85,-5.6
ZINC000034132551_uff_E=324.40,-5.6
ZINC000036948288_uff_E=563.27,-5.6
ZINC000062119743_uff_E=620.10,-5.6
ZINC000130199723_uff_E=736.38,-5.6
ZINC000299741986_uff_E=1445.34,-5.6
ZINC000002572074_uff_E=78.71,-5.5
ZINC000004169646_uff_E=272.93,-5.5
ZINC000004207127_uff_E=625.08,-5.5
ZINC000004207129_uff_E=630.33,-5.5
ZINC000004899639_uff_E=141.26,-5.5
ZINC000012336444_uff_E=62.30,-5.5
ZINC000020921316_uff_E=231.23,-5.5
ZINC000043830512_uff_E=2252.27,-5.5
ZINC000044122959_uff_E=148.62,-5.4
ZINC000096032231_uff_E=329.76,-5.4
ZINC000100020642_uff_E=122.95,-5.4
ZINC000002293558_uff_E=130.52,-5.3
ZINC000003165238_uff_E=120.46,-5.3
ZINC000008729807_uff_E=60.33,-5.3
ZINC000001823473_uff_E=225.09,-5.2
ZINC000002619051_uff_E=356.27,-5.2
ZINC000004226897_uff_E=750.89,-5.2
ZINC000011768521_uff_E=750.88,-5.1
ZINC000037518428_uff_E=1451.61,-5.1
ZINC000004226898_uff_E=686.29,-5
ZINC000042493128_uff_E=193.67,-5
ZINC000096503425_uff_E=167.67,-4.9
ZINC000011535937_uff_E=594.93,-4.6
