Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-210_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.7,0,0
miRNA-210_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.6,2.764,1.473
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.4,0,0
miRNA-210_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.3,0,0
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,31.71,28.358
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,31.181,28.352
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,5.916,3.905
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,8.259,3.922
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,58.517,55.63
miRNA-210_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.3,0,0
miRNA-210_3D_Structure_model1_ZINC000100116292_uff_E=392.73,-8.3,0,0
miRNA-210_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.3,12.324,8.739
miRNA-210_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.3,6.893,2.43
miRNA-210_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.3,0,0
miRNA-210_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-8.3,0,0
miRNA-210_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.2,12.926,11.192
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,58.765,55.663
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,30.029,25.654
miRNA-210_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,29.397,25.628
miRNA-210_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.2,0,0
miRNA-210_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.2,10.814,6.287
miRNA-210_3D_Structure_model1_ZINC000000039857_uff_E=352.48,-8.1,0,0
