Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.9,0,0
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.7,0,0
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.6,3.094,2.041
miRNA-296_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.6,0,0
miRNA-296_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-8.5,0,0
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,0,0
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,5.988,0.042
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,27.909,26.312
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,28.395,26.33
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.5,0,0
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.5,6.003,2.506
miRNA-296_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.5,8.932,5.401
miRNA-296_3D_Structure_model1_ZINC000215566476_uff_E=155.54,-8.5,0,0
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.4,24.873,23.498
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.4,25.196,23.492
miRNA-296_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-8.4,0,0
miRNA-296_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-8.4,3.959,1.779
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.4,1.974,1.133
miRNA-296_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.4,0,0
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.4,11.352,8.62
miRNA-296_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.4,0,0
miRNA-296_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8.4,0,0
miRNA-296_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.4,0,0
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.3,7.077,3.558
miRNA-296_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.3,25.175,21.901
miRNA-296_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.3,0,0
miRNA-296_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-8.2,8.125,3.455
miRNA-296_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-8.2,0,0
miRNA-296_3D_Structure_model1_ZINC000001424246_uff_E=405.37,-8.2,0,0
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,44.401,42.56
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,3.035,2.338
miRNA-296_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.2,12.056,10.322
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.2,2.554,2.01
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.2,11.262,10.016
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.2,20.72,19.909
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.2,25.3,24.304
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.2,15.789,12.987
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.2,24.238,21.873
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.2,12.23,11.267
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.2,2.863,2.057
miRNA-296_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.2,6.768,4.224
miRNA-296_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.2,5.825,1.754
miRNA-296_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000002392043_uff_E=147.92,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000007989005_uff_E=167.57,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000008754385_uff_E=154.41,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000012956768_uff_E=317.06,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000032627188_uff_E=389.56,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.1,2.25,1.613
miRNA-296_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.1,2.04,1.532
miRNA-296_3D_Structure_model1_ZINC000074934285_uff_E=1028.02,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.1,2.487,2.083
miRNA-296_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.1,1.284,1.221
miRNA-296_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.1,29.719,25.735
miRNA-296_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-8.1,0,0
miRNA-296_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-8,27.266,25.727
miRNA-296_3D_Structure_model1_ZINC000004249556_uff_E=362.13,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8,5.413,2.361
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8,28.164,27.245
miRNA-296_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8,7.034,4.531
miRNA-296_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-8,4.803,3.349
miRNA-296_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-8,3.421,2.676
miRNA-296_3D_Structure_model1_ZINC000008609359_uff_E=208.91,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000008609359_uff_E=208.91,-8,27.313,25.355
miRNA-296_3D_Structure_model1_ZINC000008754431_uff_E=154.93,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000011850592_uff_E=163.33,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8,12.957,11.502
miRNA-296_3D_Structure_model1_ZINC000065407985_uff_E=565.32,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000065407985_uff_E=565.32,-8,26.806,24.97
miRNA-296_3D_Structure_model1_ZINC000065422631_uff_E=355.46,-8,0,0
miRNA-296_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8,12.003,8.665
miRNA-296_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8,25.937,25.215
