Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA-203_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-9.2,0,0
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.1,0,0
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-9.1,0,0
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,1.49,0.823
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,6.276,0.844
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-9,3.255,2.487
miRNA-203_3D_Structure_model1_ZINC000100116292_uff_E=392.73,-9,0,0
miRNA-203_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8.8,0,0
miRNA-203_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.8,0,0
miRNA-203_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.8,0,0
miRNA-203_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.7,0,0
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.7,2.303,1.792
miRNA-203_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.7,2.09,1.868
miRNA-203_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8.7,0,0
miRNA-203_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.7,2.08,1.682
miRNA-203_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.7,0,0
miRNA-203_3D_Structure_model1_ZINC000000193798_uff_E=149.03,-8.6,0,0
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.6,19.61,17.199
miRNA-203_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-8.6,0,0
miRNA-203_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-8.6,3.868,2.42
miRNA-203_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.6,16.477,14.781
miRNA-203_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.6,2.914,1.658
miRNA-203_3D_Structure_model1_ZINC000006760912_uff_E=421.83,-8.6,0,0
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.6,2.439,1.987
miRNA-203_3D_Structure_model1_ZINC000100116292_uff_E=392.73,-8.6,1.149,0.743
miRNA-203_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.6,15.037,11.757
miRNA-203_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.6,0,0
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,3.469,2.282
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,6.364,4.313
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,4.972,3.868
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.5,8.114,3.998
miRNA-203_3D_Structure_model1_ZINC000004629796_uff_E=396.96,-8.5,3.836,3.217
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.5,8.235,5.861
miRNA-203_3D_Structure_model1_ZINC000006760910_uff_E=399.36,-8.5,3.26,2.247
miRNA-203_3D_Structure_model1_ZINC000006769861_uff_E=378.03,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.5,11.908,9.722
miRNA-203_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.5,13.078,11.102
miRNA-203_3D_Structure_model1_ZINC000078210627_uff_E=402.98,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000101012615_uff_E=511.85,-8.5,15.997,12.909
miRNA-203_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.5,5.773,3.539
miRNA-203_3D_Structure_model1_ZINC000392498310_uff_E=403.00,-8.5,0,0
miRNA-203_3D_Structure_model1_ZINC000001402363_uff_E=361.13,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000001402384_uff_E=374.83,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.4,16.333,14.297
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.4,5.078,4.263
miRNA-203_3D_Structure_model1_ZINC000019229980_uff_E=596.62,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000020216661_uff_E=287.74,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000030834184_uff_E=290.23,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.4,5.731,2.158
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.4,13.645,11.035
miRNA-203_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.4,5.146,4.078
miRNA-203_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.4,4.915,3.676
miRNA-203_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.4,2.145,1.754
miRNA-203_3D_Structure_model1_ZINC000170637953_uff_E=375.04,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000215281114_uff_E=382.72,-8.4,6.553,2.112
miRNA-203_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-8.4,4.942,3.106
miRNA-203_3D_Structure_model1_ZINC000215566476_uff_E=155.54,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000253536240_uff_E=149.47,-8.4,0,0
miRNA-203_3D_Structure_model1_ZINC000000339488_uff_E=104.70,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000001748317_uff_E=115.83,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-8.3,6.842,6.303
miRNA-203_3D_Structure_model1_ZINC000003407843_uff_E=191.80,-8.3,14.639,11.871
miRNA-203_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8.3,2.214,1.505
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.3,16.268,13.637
miRNA-203_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.3,2.28,1.557
miRNA-203_3D_Structure_model1_ZINC000012956768_uff_E=317.06,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000014001469_uff_E=308.66,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000040163924_uff_E=347.22,-8.3,4.229,2.517
miRNA-203_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000044610030_uff_E=513.50,-8.3,5.051,3.27
miRNA-203_3D_Structure_model1_ZINC000065422631_uff_E=355.46,-8.3,0,0
miRNA-203_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.3,6.587,3.273
miRNA-203_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.3,2.288,1.744
miRNA-203_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.3,11.648,10.298
miRNA-203_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.3,12.335,10.962
