Ligand,Binding Affinity,rmsd/ub, rmsd/lb
miRNA_205_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-9.6,0,0
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.6,0,0
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.6,6.278,1.652
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.3,6.538,4.097
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.2,5.646,4.262
miRNA_205_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-9.1,5.472,4.541
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.1,5.976,4.718
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9.1,6.886,4.716
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,6.441,4.512
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,6.071,4.523
miRNA_205_3D_Structure_model1_ZINC000002308577_uff_E=768.80,-9,6.43,4.958
miRNA_205_3D_Structure_model1_ZINC000065434528_uff_E=1775.58,-9,0,0
miRNA_205_3D_Structure_model1_ZINC000215281161_uff_E=386.79,-9,0,0
miRNA_205_3D_Structure_model1_ZINC000066324463_uff_E=367.37,-8.9,0,0
miRNA_205_3D_Structure_model1_ZINC000170637953_uff_E=375.04,-8.9,0,0
miRNA_205_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.8,0,0
miRNA_205_3D_Structure_model1_ZINC000066324463_uff_E=367.37,-8.8,4.311,2.737
miRNA_205_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8.8,0,0
miRNA_205_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-8.7,5.245,4.387
miRNA_205_3D_Structure_model1_ZINC000095485801_uff_E=326.10,-8.7,0,0
miRNA_205_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.7,0,0
miRNA_205_3D_Structure_model1_ZINC000100486561_uff_E=486.75,-8.7,0,0
miRNA_205_3D_Structure_model1_ZINC000005242230_uff_E=609.43,-8.7,5.142,1.177
miRNA_205_3D_Structure_model1_ZINC000005750376_uff_E=773.97,-8.6,3.624,2.236
miRNA_205_3D_Structure_model1_ZINC000072324030_uff_E=441.10,-8.6,2.702,2.058
miRNA_205_3D_Structure_model1_ZINC000524728979_uff_E=420.68,-8.6,0,0
miRNA_205_3D_Structure_model1_ZINC000067842984_uff_E=394.10,-8.6,0,0
miRNA_205_3D_Structure_model1_ZINC000031807922_uff_E=403.95,-8.5,0,0
miRNA_205_3D_Structure_model1_ZINC000097375660_uff_E=769.95,-8.5,4.962,3.731
miRNA_205_3D_Structure_model1_ZINC000065434528_uff_E=1775.58,-8.5,5.93,2.52
miRNA_205_3D_Structure_model1_ZINC000065406900_uff_E=553.74,-8.4,0,0
